symbol	ensembl_gene_id	hgnc_id	hgnc_ensembl_gene_id
RFWD3	ENSG00000168411	HGNC:25539	ENSG00000168411
RHBDF2	ENSG00000129667	HGNC:20788	ENSG00000129667
RING1	ENSG00000204227	HGNC:10018	ENSG00000204227
RINT1	ENSG00000135249	HGNC:21876	ENSG00000135249
RIT1	ENSG00000143622	HGNC:10023	ENSG00000143622
RMRP	ENSG00000277027	HGNC:10031	ENSG00000277027
RNASEL	ENSG00000135828	HGNC:10050	ENSG00000135828
RNF43	ENSG00000108375	HGNC:18505	ENSG00000108375
ROS1	ENSG00000047936	HGNC:10261	ENSG00000047936
RPL11	ENSG00000142676	HGNC:10301	ENSG00000142676
RPL15	ENSG00000174748	HGNC:10306	ENSG00000174748
RPL23	ENSG00000125691	HGNC:10316	ENSG00000125691
RPL26	ENSG00000161970	HGNC:10327	ENSG00000161970
RPL27	ENSG00000131469	HGNC:10328	ENSG00000131469
RPL31	ENSG00000071082	HGNC:10334	ENSG00000071082
RPL35A	ENSG00000182899	HGNC:10345	ENSG00000182899
RPL36	ENSG00000130255	HGNC:13631	ENSG00000130255
RPL5	ENSG00000122406	HGNC:10360	ENSG00000122406
RPS10	ENSG00000124614	HGNC:10383	ENSG00000124614
RPS15	ENSG00000115268	HGNC:10388	ENSG00000115268
RPS17	ENSG00000182774	HGNC:10397	ENSG00000182774
RPS19	ENSG00000105372	HGNC:10402	ENSG00000105372
RPS24	ENSG00000138326	HGNC:10411	ENSG00000138326
RPS26	ENSG00000197728	HGNC:10414	ENSG00000197728
RPS27	ENSG00000177954	HGNC:10416	ENSG00000177954
RPS27A	ENSG00000143947	HGNC:10417	ENSG00000143947
RPS28	ENSG00000233927	HGNC:10418	ENSG00000233927
RPS29	ENSG00000213741	HGNC:10419	ENSG00000213741
RPS7	ENSG00000171863	HGNC:10440	ENSG00000171863
RRAS2	ENSG00000133818	HGNC:17271	ENSG00000133818
RTEL1	ENSG00000258366	HGNC:15888	ENSG00000258366
RUNX1	ENSG00000159216	HGNC:10471	ENSG00000159216
SAMD9	ENSG00000205413	HGNC:1348	ENSG00000205413
SAMD9L	ENSG00000177409	HGNC:1349	ENSG00000177409
SASH1	ENSG00000111961	HGNC:19182	ENSG00000111961
SBDS	ENSG00000126524	HGNC:19440	ENSG00000126524
SCG5	ENSG00000166922	HGNC:10816	ENSG00000166922
SDHA	ENSG00000073578	HGNC:10680	ENSG00000073578
SDHAF2	ENSG00000167985	HGNC:26034	ENSG00000167985
SDHB	ENSG00000117118	HGNC:10681	ENSG00000117118
SDHC	ENSG00000143252	HGNC:10682	ENSG00000143252
SDHD	ENSG00000204370	HGNC:10683	ENSG00000204370
SEC23B	ENSG00000101310	HGNC:10702	ENSG00000101310
SEMA4A	ENSG00000196189	HGNC:10729	ENSG00000196189
SERPINA1	ENSG00000197249	HGNC:8941	ENSG00000197249
SETBP1	ENSG00000152217	HGNC:15573	ENSG00000152217
SETMAR	ENSG00000170364	HGNC:10762	ENSG00000170364
SFTPA1	ENSG00000122852	HGNC:10798	ENSG00000122852
SFTPA2	ENSG00000185303	HGNC:10799	ENSG00000185303
SH2B3	ENSG00000111252	HGNC:29605	ENSG00000111252
SH2D1A	ENSG00000183918	HGNC:10820	ENSG00000183918
SHOC2	ENSG00000108061	HGNC:15454	ENSG00000108061
SIX1	ENSG00000126778	HGNC:10887	ENSG00000126778
SLC25A13	ENSG00000004864	HGNC:10983	ENSG00000004864
SLC26A3	ENSG00000091138	HGNC:3018	ENSG00000091138
SLC5A5	ENSG00000105641	HGNC:11040	ENSG00000105641
SLX4	ENSG00000188827	HGNC:23845	ENSG00000188827
SMAD4	ENSG00000141646	HGNC:6770	ENSG00000141646
SMAD9	ENSG00000120693	HGNC:6774	ENSG00000120693
SMARCA2	ENSG00000080503	HGNC:11098	ENSG00000080503
SMARCA4	ENSG00000127616	HGNC:11100	ENSG00000127616
SMARCB1	ENSG00000099956	HGNC:11103	ENSG00000099956
SMARCE1	ENSG00000073584	HGNC:11109	ENSG00000073584
SMO	ENSG00000128602	HGNC:11119	ENSG00000128602
SOCS1	ENSG00000185338	HGNC:19383	ENSG00000185338
SOS1	ENSG00000115904	HGNC:11187	ENSG00000115904
SOS2	ENSG00000100485	HGNC:11188	ENSG00000100485
SPINK1	ENSG00000164266	HGNC:11244	ENSG00000164266
SPOP	ENSG00000121067	HGNC:11254	ENSG00000121067
SPRED1	ENSG00000166068	HGNC:20249	ENSG00000166068
SPRTN	ENSG00000010072	HGNC:25356	ENSG00000010072
SQSTM1	ENSG00000161011	HGNC:11280	ENSG00000161011
SRC	ENSG00000197122	HGNC:11283	ENSG00000197122
SRGAP1	ENSG00000196935	HGNC:17382	ENSG00000196935
SRP72	ENSG00000174780	HGNC:11303	ENSG00000174780
SRRM2	ENSG00000167978	HGNC:16639	ENSG00000167978
SRY	ENSG00000184895	HGNC:11311	ENSG00000184895
STAT3	ENSG00000168610	HGNC:11364	ENSG00000168610
STK11	ENSG00000118046	HGNC:11389	ENSG00000118046
STN1	ENSG00000107960	HGNC:26200	ENSG00000107960
STX11	ENSG00000135604	HGNC:11429	ENSG00000135604
STXBP2	ENSG00000076944	HGNC:11445	ENSG00000076944
SUFU	ENSG00000107882	HGNC:16466	ENSG00000107882
SYK	ENSG00000165025	HGNC:11491	ENSG00000165025
TBXT	ENSG00000164458	HGNC:11515	ENSG00000164458
TCF7L2	ENSG00000148737	HGNC:11641	ENSG00000148737
TERC	ENSG00000270141	HGNC:11727	ENSG00000270141
TERF2IP	ENSG00000166848	HGNC:19246	ENSG00000166848
TERT	ENSG00000164362	HGNC:11730	ENSG00000164362
TET2	ENSG00000168769	HGNC:25941	ENSG00000168769
TFAP2A	ENSG00000137203	HGNC:11742	ENSG00000137203
TFE3	ENSG00000068323	HGNC:11752	ENSG00000068323
TG	ENSG00000042832	HGNC:11764	ENSG00000042832
TGFBR1	ENSG00000106799	HGNC:11772	ENSG00000106799
TGFBR2	ENSG00000163513	HGNC:11773	ENSG00000163513
TINF2	ENSG00000092330	HGNC:11824	ENSG00000092330
TMC6	ENSG00000141524	HGNC:18021	ENSG00000141524
TMC8	ENSG00000167895	HGNC:20474	ENSG00000167895
TMEM127	ENSG00000135956	HGNC:26038	ENSG00000135956
TNFAIP3	ENSG00000118503	HGNC:11896	ENSG00000118503
TNFRSF11A	ENSG00000141655	HGNC:11908	ENSG00000141655
TP53	ENSG00000141510	HGNC:11998	ENSG00000141510
TP63	ENSG00000073282	HGNC:15979	ENSG00000073282
TRIM24	ENSG00000122779	HGNC:11812	ENSG00000122779
TRIM28	ENSG00000130726	HGNC:16384	ENSG00000130726
TRIM37	ENSG00000108395	HGNC:7523	ENSG00000108395
TRIP13	ENSG00000071539	HGNC:12307	ENSG00000071539
TSC1	ENSG00000165699	HGNC:12362	ENSG00000165699
TSC2	ENSG00000103197	HGNC:12363	ENSG00000103197
TSHR	ENSG00000165409	HGNC:12373	ENSG00000165409
TSR2	ENSG00000158526	HGNC:25455	ENSG00000158526
TYK2	ENSG00000105397	HGNC:12440	ENSG00000105397
UBE2T	ENSG00000077152	HGNC:25009	ENSG00000077152
UNC13D	ENSG00000092929	HGNC:23147	ENSG00000092929
UROD	ENSG00000126088	HGNC:12591	ENSG00000126088
VANGL1	ENSG00000173218	HGNC:15512	ENSG00000173218
VDR	ENSG00000111424	HGNC:12679	ENSG00000111424
VHL	ENSG00000134086	HGNC:12687	ENSG00000134086
VTRNA2-1	ENSG00000270123	HGNC:37054	ENSG00000270123
WAS	ENSG00000015285	HGNC:12731	ENSG00000015285
WIF1	ENSG00000156076	HGNC:18081	ENSG00000156076
WRAP53	ENSG00000141499	HGNC:25522	ENSG00000141499
WRN	ENSG00000165392	HGNC:12791	ENSG00000165392
WT1	ENSG00000184937	HGNC:12796	ENSG00000184937
XPA	ENSG00000136936	HGNC:12814	ENSG00000136936
XPC	ENSG00000154767	HGNC:12816	ENSG00000154767
XRCC2	ENSG00000196584	HGNC:12829	ENSG00000196584
XRCC3	ENSG00000126215	HGNC:12830	ENSG00000126215
ZBTB16	ENSG00000109906	HGNC:12930	ENSG00000109906
